date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2014-01-15,Bread - Retail,KG,cereals and tubers,50.0,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2014-02-15,Bread - Retail,KG,cereals and tubers,51.0,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2014-04-15,Bread - Retail,KG,cereals and tubers,52.0,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2014-02-15,Exchange rate - Retail,USD/LCU,non-food,57.55,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2014-07-15,Exchange rate - Retail,USD/LCU,non-food,56.6,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2014-08-15,Exchange rate - Retail,USD/LCU,non-food,56.625,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2014-09-15,Exchange rate - Retail,USD/LCU,non-food,57.0,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2014-10-15,Exchange rate - Retail,USD/LCU,non-food,57.375,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2014-11-15,Exchange rate - Retail,USD/LCU,non-food,57.65,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2014-12-15,Exchange rate - Retail,USD/LCU,non-food,57.725,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-01-15,Exchange rate - Retail,USD/LCU,non-food,57.55,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-02-15,Exchange rate - Retail,USD/LCU,non-food,57.225,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-03-15,Exchange rate - Retail,USD/LCU,non-food,57.475,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-04-15,Exchange rate - Retail,USD/LCU,non-food,57.625,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-05-15,Exchange rate - Retail,USD/LCU,non-food,59.225,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-06-15,Exchange rate - Retail,USD/LCU,non-food,60.1,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-07-15,Exchange rate - Retail,USD/LCU,non-food,60.35,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-08-15,Exchange rate - Retail,USD/LCU,non-food,63.45,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-09-15,Exchange rate - Retail,USD/LCU,non-food,63.6,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-10-15,Exchange rate - Retail,USD/LCU,non-food,64.175,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-11-15,Exchange rate - Retail,USD/LCU,non-food,66.125,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2015-12-15,Exchange rate - Retail,USD/LCU,non-food,67.475,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-01-15,Exchange rate - Retail,USD/LCU,non-food,68.325,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-03-15,Exchange rate - Retail,USD/LCU,non-food,68.275,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-04-15,Exchange rate - Retail,USD/LCU,non-food,68.175,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-05-15,Exchange rate - Retail,USD/LCU,non-food,68.375,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-06-15,Exchange rate - Retail,USD/LCU,non-food,68.65,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-07-15,Exchange rate - Retail,USD/LCU,non-food,68.35,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-08-15,Exchange rate - Retail,USD/LCU,non-food,66.85,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-09-15,Exchange rate - Retail,USD/LCU,non-food,67.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-10-15,Exchange rate - Retail,USD/LCU,non-food,65.65,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-11-15,Exchange rate - Retail,USD/LCU,non-food,66.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2016-12-15,Exchange rate - Retail,USD/LCU,non-food,66.55,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-01-15,Exchange rate - Retail,USD/LCU,non-food,66.575,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-02-15,Exchange rate - Retail,USD/LCU,non-food,66.95,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-03-15,Exchange rate - Retail,USD/LCU,non-food,67.625,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-04-15,Exchange rate - Retail,USD/LCU,non-food,67.175,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-05-15,Exchange rate - Retail,USD/LCU,non-food,67.55,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-06-15,Exchange rate - Retail,USD/LCU,non-food,67.85,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-07-15,Exchange rate - Retail,USD/LCU,non-food,68.2125,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-08-15,Exchange rate - Retail,USD/LCU,non-food,68.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-09-15,Exchange rate - Retail,USD/LCU,non-food,68.2875,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-10-15,Exchange rate - Retail,USD/LCU,non-food,67.9875,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-11-15,Exchange rate - Retail,USD/LCU,non-food,68.35,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2017-12-15,Exchange rate - Retail,USD/LCU,non-food,68.925,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2018-01-15,Exchange rate - Retail,USD/LCU,non-food,69.475,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2018-02-15,Exchange rate - Retail,USD/LCU,non-food,68.475,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2018-03-15,Exchange rate - Retail,USD/LCU,non-food,69.0,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
2018-04-15,Exchange rate - Retail,USD/LCU,non-food,69.525,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,305,15,56,8,266_305_15_56,
