date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2016-07-15,Wheat flour - Retail,KG,cereals and tubers,172.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2016-08-15,Wheat flour - Retail,KG,cereals and tubers,150.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2016-09-15,Wheat flour - Retail,KG,cereals and tubers,150.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2016-10-15,Wheat flour - Retail,KG,cereals and tubers,153.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2016-11-15,Wheat flour - Retail,KG,cereals and tubers,164.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2016-12-15,Wheat flour - Retail,KG,cereals and tubers,168.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-01-15,Wheat flour - Retail,KG,cereals and tubers,171.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-02-15,Wheat flour - Retail,KG,cereals and tubers,170.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-03-15,Wheat flour - Retail,KG,cereals and tubers,170.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-04-15,Wheat flour - Retail,KG,cereals and tubers,163.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-05-15,Wheat flour - Retail,KG,cereals and tubers,165.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-06-15,Wheat flour - Retail,KG,cereals and tubers,170.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-07-15,Wheat flour - Retail,KG,cereals and tubers,155.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
2017-08-15,Wheat flour - Retail,KG,cereals and tubers,150.0,YER,Yemen,Abyan,3407,Zungubar City,1940,58,15,5,1,1940_58_15_5,1
